date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:15:56	234/234	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2019%20Feb%202024%2011:15:51%20GMT	https://www.luckywinnerspower.com/robots.txt		(from )
06:15:57	40622/40622	---M--	200	added ('OK')	text/html	date:Mon,%2019%20Feb%202024%2011:15:51%20GMT	https://www.luckywinnerspower.com/	C:/My%20Web%20Sites/Lucky2/Lucky2/www.luckywinnerspower.com/index.html	(from )
06:15:58	155758/155758	---M-Z	200	added ('OK')	text/css	etag:%225eb04010-2606e%22	https://cdnjs.cloudflare.com/ajax/libs/twitter-bootstrap/4.3.1/css/bootstrap.min.css	C:/My%20Web%20Sites/Lucky2/Lucky2/cdnjs.cloudflare.com/ajax/libs/twitter-bootstrap/4.3.1/css/bootstrap.min.css	(from https://www.luckywinnerspower.com/)
06:15:58	69917/69917	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-1111d%22	https://code.jquery.com/jquery-3.3.1.slim.min.js	C:/My%20Web%20Sites/Lucky2/Lucky2/code.jquery.com/jquery-3.3.1.slim.min.js	(from https://www.luckywinnerspower.com/)
06:15:58	21004/21004	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03fa9-520c%22	https://cdnjs.cloudflare.com/ajax/libs/popper.js/1.14.7/umd/popper.min.js	C:/My%20Web%20Sites/Lucky2/Lucky2/cdnjs.cloudflare.com/ajax/libs/popper.js/1.14.7/umd/popper.min.js	(from https://www.luckywinnerspower.com/)
06:16:00	145770/145770	---M--	200	added ('OK')	text/css	etag:%222396a-5c7dbc77a4e80%22	https://www.luckywinnerspower.com/chat/addchat/css/tezchat.css	C:/My%20Web%20Sites/Lucky2/Lucky2/www.luckywinnerspower.com/chat/addchat/css/tezchat.css	(from https://www.luckywinnerspower.com/)
06:16:02	49667/49667	---M-Z	200	added ('OK')	text/html	date:Mon,%2019%20Feb%202024%2011:15:56%20GMT	https://www.luckywinnerspower.com/cashapp	C:/My%20Web%20Sites/Lucky2/Lucky2/www.luckywinnerspower.com/cashapp.html	(from https://www.luckywinnerspower.com/)
06:16:02	73934/73934	---M--	200	added ('OK')	image/jpeg	etag:%22120ce-5c73f3c69ff80%22	https://www.luckywinnerspower.com/top.jpg	C:/My%20Web%20Sites/Lucky2/Lucky2/www.luckywinnerspower.com/top.jpg	(from https://www.luckywinnerspower.com/)
06:16:03	45881/45881	---M-Z	200	added ('OK')	text/html	date:Mon,%2019%20Feb%202024%2011:15:58%20GMT	https://www.luckywinnerspower.com/link2play	C:/My%20Web%20Sites/Lucky2/Lucky2/www.luckywinnerspower.com/link2play.html	(from https://www.luckywinnerspower.com/)
06:16:04	31910/31910	---M-Z	200	added ('OK')	text/html	date:Mon,%2019%20Feb%202024%2011:15:59%20GMT	https://www.luckywinnerspower.com/contact	C:/My%20Web%20Sites/Lucky2/Lucky2/www.luckywinnerspower.com/contact.html	(from https://www.luckywinnerspower.com/)
06:16:04	269585/269585	---M--	200	added ('OK')	image/jpeg	etag:%2261cccfd7a1021a622a2fba387284b18b%22	https://www.playgd.mobi/LOGO/playgd/splash.jpg	C:/My%20Web%20Sites/Lucky2/Lucky2/www.playgd.mobi/LOGO/playgd/splash.jpg	(from https://www.luckywinnerspower.com/)
06:16:05	5136/5136	---M-Z	200	added ('OK')	text/html	date:Mon,%2019%20Feb%202024%2011:16:00%20GMT	https://www.luckywinnerspower.com/home/setting	C:/My%20Web%20Sites/Lucky2/Lucky2/www.luckywinnerspower.com/home/setting.html	(from https://www.luckywinnerspower.com/)
06:16:06	77609/77609	---M--	200	added ('OK')	image/jpeg	date:Tue,%2030%20Jan%202024%2015:03:46%20GMT	https://images.pexels.com/photos/371924/pexels-photo-371924.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1	C:/My%20Web%20Sites/Lucky2/Lucky2/images.pexels.com/photos/371924/pexels-photo-3719247874.jpg	(from https://www.luckywinnerspower.com/)
